Minutes Played,Goals,Assists,Passes,Key Passes,Big Chances Created,Shots,Shots on Target,Yellow Card,Red Card,Match Rating
90,0,0,99,3,0,0,0,1,0,7.6
90,0,0,99,3,1,0,0,0,0,7.8
90,0,0,99,0,0,0,0,0,0,7.5
90,0,0,99,0,0,0,0,0,0,7
90,1,0,98,5,0,2,1,0,0,9.4
90,0,0,98,5,1,3,2,0,0,8.5
90,1,0,98,5,1,2,1,0,0,8.4
90,0,0,98,0,0,0,0,0,0,7.5
90,0,0,98,1,0,1,0,0,0,6.9
90,0,0,97,0,0,0,0,1,0,7.2
90,0,0,97,2,1,1,0,0,0,8.1
90,0,0,97,0,0,2,1,0,0,7.5
90,0,0,97,0,0,1,1,0,0,7.2
90,0,0,97,0,0,0,0,0,0,6.9
90,0,1,96,1,1,0,0,1,0,8.1
90,0,0,96,1,0,0,0,1,0,7.3
90,3,0,95,1,0,6,5,0,0,9.5
90,0,0,95,0,0,2,2,0,0,8.5
90,0,0,95,4,0,2,0,0,0,7.7
90,0,0,95,0,0,1,0,0,0,7.2
90,0,0,95,3,0,0,0,0,0,7.1
90,0,0,95,0,0,0,0,0,0,6.8
90,0,0,94,2,0,1,1,0,0,7.6
90,0,0,94,0,0,1,0,0,0,7.5
90,0,0,94,0,0,1,0,0,0,7.5
90,0,0,94,1,0,2,0,0,0,7.7
90,1,0,94,2,0,1,1,0,0,8
90,1,0,93,2,0,2,1,1,0,8.4
90,0,0,93,2,0,0,0,1,0,6.9
90,0,0,93,0,0,0,0,0,0,7.6
90,1,0,93,0,0,2,1,0,0,8.5
90,0,0,92,5,2,1,0,0,0,8.4
90,0,0,92,2,0,2,0,0,0,7.5
90,0,0,92,0,0,1,1,0,0,7.4
90,0,0,91,1,0,0,0,0,0,7.3
90,0,0,91,0,0,0,0,0,0,6.9
90,0,0,91,0,0,0,0,0,0,6.3
90,1,0,90,1,1,3,2,0,0,9
90,0,0,90,0,0,0,0,0,0,7.2
90,0,0,90,0,0,0,0,0,0,7.1
90,0,0,90,0,0,0,0,0,0,6.3
90,0,0,89,1,0,2,0,1,0,7.5
90,0,1,89,5,1,2,0,0,0,8.5
90,0,0,89,0,0,0,0,0,0,7.5
90,0,0,89,1,1,0,0,0,0,7.5
90,0,0,89,2,0,4,0,0,0,7.5
90,0,0,89,0,0,1,0,0,0,7.2
90,0,0,89,0,0,2,1,0,0,7
90,0,0,89,0,0,0,0,0,0,7
90,0,0,89,0,0,0,0,0,0,7
90,0,0,88,0,0,0,0,1,0,7.1
90,0,2,88,5,1,1,1,0,0,8.7
90,0,0,88,0,0,1,0,0,0,7
90,0,0,88,1,0,0,0,0,0,6.9
90,0,0,88,2,0,0,0,0,0,6.9
90,0,0,88,1,0,1,0,0,0,6.7
90,0,0,87,0,0,3,3,1,0,7.3
90,0,0,87,1,0,1,0,1,0,7
90,0,0,87,0,0,0,0,1,0,6.9
90,1,1,87,3,0,1,1,0,0,9
90,1,0,87,0,0,1,1,0,0,8.1
90,0,0,87,0,0,0,0,0,0,7.4
90,0,0,87,0,0,0,0,0,0,7.2
90,0,0,86,1,0,1,0,0,0,7.7
90,0,0,86,0,0,0,0,0,0,7.6
90,0,0,86,2,0,2,0,0,0,6.6
90,0,0,85,0,0,0,0,1,0,7.1
90,0,0,85,6,2,2,0,0,0,8.2
90,0,0,85,0,0,0,0,0,0,7.7
90,0,0,85,0,0,0,0,0,0,7.5
90,0,1,84,3,1,0,0,0,0,8.1
90,0,0,84,0,0,0,0,0,0,7.4
90,0,0,84,0,0,0,0,0,0,7.4
90,0,0,84,0,0,0,0,0,0,7.3
90,0,0,84,0,0,0,0,0,0,6.9
90,0,0,84,0,0,0,0,0,0,6.9
90,0,0,84,0,0,0,0,0,0,6.1
90,0,0,83,3,0,2,2,1,0,7.7
90,0,0,83,4,1,1,1,0,0,8.1
90,0,0,83,3,0,0,0,0,0,7.8
90,0,0,83,0,0,0,0,0,0,7.2
90,0,0,82,0,0,0,0,1,0,6.7
90,0,0,82,0,0,0,0,1,0,6.6
90,0,0,82,0,0,0,0,1,0,6.3
90,0,1,82,5,0,2,0,0,0,8.3
90,0,0,82,5,3,1,0,0,0,7.8
90,0,0,82,0,0,0,0,0,0,7.6
90,0,0,82,1,0,1,0,0,0,7.6
90,0,0,82,0,0,0,0,0,0,7.3
90,0,0,82,0,0,0,0,0,0,7.2
90,0,0,82,0,0,3,1,0,0,6.7
90,0,0,81,0,0,0,0,0,0,8.3
90,0,0,81,2,2,0,0,0,0,8.1
90,0,0,81,0,0,3,0,0,0,7.7
90,0,0,81,0,0,0,0,0,0,7.6
90,0,0,81,0,0,1,0,0,0,7.4
90,0,0,81,0,0,1,0,0,0,7.4
90,0,0,81,1,0,1,0,0,0,7.2
90,0,0,81,0,0,0,0,0,0,7.1
90,0,0,81,0,0,0,0,0,0,7
90,0,0,81,0,0,0,0,0,0,6.9
90,0,0,81,0,0,0,0,0,0,6.8
90,1,0,80,0,0,2,1,1,0,7.7
90,0,0,80,0,0,3,0,1,0,6.8
90,0,2,80,5,1,1,0,0,0,8.7
90,0,0,80,1,1,1,1,0,0,8.7
90,1,1,80,1,1,1,1,0,0,8.1
90,0,0,80,0,0,0,0,0,0,7.3
90,0,0,80,2,0,0,0,0,0,7.3
90,0,0,80,1,0,0,0,0,0,7.2
90,0,0,80,0,0,1,0,0,0,7
90,0,0,80,0,0,0,0,0,0,7
90,1,2,79,8,1,6,3,0,0,10
90,0,0,79,1,0,2,1,0,0,8.1
90,0,0,79,1,0,2,0,0,0,7.5
90,0,0,79,1,0,2,0,0,0,7.4
90,0,0,79,2,0,0,0,0,0,7.3
90,0,0,79,0,0,0,0,0,0,7
90,0,0,79,0,0,0,0,0,0,6.8
90,0,0,78,1,0,0,0,1,0,7.4
90,0,0,78,1,0,1,0,1,0,7.1
90,1,1,78,4,1,3,1,0,0,9.5
